epochs hidden_layers neurons learning_rate batch_size dropout
40960 2 2048 1e-06 8 0.15
40960 5 512 1e-07 128 0.05
40960 1 128 0.0001 128 0.2
40960 2 2048 1e-07 512 0.05
40960 1 128 0.0001 8 0.05
40960 1 64 1e-05 512 0.05
40960 1 64 0.001 128 0.0
40960 1 4096 0.001 32 0.2
40960 2 128 1e-06 32 0.0
40960 4 512 0.0001 512 0.1
40960 5 32 0.001 128 0.15
40960 2 4096 0.001 512 0.15
40960 1 1024 0.0001 32 0.1
40960 4 4096 1e-06 512 0.2
40960 4 2048 1e-06 8 0.0
40960 3 1024 1e-05 32 0.1
40960 3 32 0.001 8 0.1
40960 5 32 0.001 32 0.15
40960 5 4096 1e-07 512 0.2
40960 3 2048 0.001 8 0.0
40960 3 32 1e-06 8 0.05
40960 5 256 1e-05 128 0.0
40960 1 2048 0.0001 128 0.2
40960 4 512 0.001 128 0.2
40960 2 2048 0.001 512 0.05
40960 3 256 1e-06 128 0.05
40960 5 32 0.0001 512 0.1
40960 4 256 0.0001 32 0.2
40960 1 1024 0.001 32 0.2
40960 4 256 0.0001 128 0.2
40960 5 1024 0.0001 8 0.05
40960 4 32 1e-05 32 0.2
40960 2 256 0.001 128 0.05
40960 5 32 1e-05 32 0.2
40960 4 512 1e-06 512 0.2
40960 3 4096 1e-05 32 0.1
40960 3 32 1e-05 512 0.2
40960 2 2048 0.0001 8 0.2
40960 1 256 1e-07 128 0.0
40960 2 1024 0.001 8 0.05
40960 1 64 1e-07 128 0.15
40960 1 32 1e-06 8 0.0
40960 5 128 0.001 8 0.2
40960 4 256 1e-07 32 0.05
40960 2 128 0.0001 8 0.0
40960 4 2048 1e-05 512 0.05
40960 2 32 0.0001 32 0.0
40960 1 1024 0.0001 128 0.0
40960 5 512 0.001 8 0.15
40960 2 4096 1e-06 512 0.05
40960 3 128 1e-07 128 0.2
40960 3 128 1e-07 32 0.05
40960 2 64 1e-06 128 0.0
40960 2 1024 0.0001 512 0.05
40960 5 256 0.0001 128 0.0
40960 4 1024 0.001 512 0.05
40960 1 128 1e-07 512 0.2
40960 5 32 0.001 32 0.1
40960 5 2048 1e-07 32 0.15
40960 3 4096 1e-06 128 0.1
40960 1 128 1e-07 512 0.0
40960 5 2048 1e-05 8 0.05
40960 4 1024 1e-05 8 0.05
40960 4 128 0.0001 8 0.15
40960 5 256 0.001 8 0.2
40960 2 4096 1e-07 128 0.0
40960 2 256 0.0001 128 0.15
40960 1 4096 1e-06 512 0.0
40960 4 1024 1e-06 512 0.1
40960 5 2048 0.0001 128 0.0
40960 4 512 1e-07 8 0.2
40960 3 128 0.0001 512 0.1
40960 2 256 1e-05 128 0.2
40960 5 1024 0.001 32 0.0
40960 2 256 0.001 32 0.05
40960 2 64 1e-06 32 0.2
40960 4 256 0.001 512 0.15
40960 4 512 0.0001 128 0.05
40960 1 512 1e-07 32 0.1
40960 4 128 1e-05 8 0.05
40960 2 2048 1e-06 8 0.05
40960 2 32 0.001 128 0.1
40960 5 4096 1e-07 512 0.05
40960 3 256 0.0001 32 0.1
