epochs hidden_layers neurons learning_rate batch_size dropout
163840 2 8192 1e-06 8 0.0
2560 5 2048 3.162277660168379e-07 1024 0.0
20480 2 4096 1e-06 1024 0.25
10240 1 512 1e-06 16 0.0
640 1 256 3.162277660168379e-07 16 0.25
40 2 32 1e-06 16 0.25
640 1 256 1e-06 512 0.2
163840 1 32 1e-06 512 0.1
163840 5 256 3.162277660168379e-07 8 0.1
40 4 2048 1e-06 256 0.25
10240 3 2048 3.162277660168379e-07 512 0.2
2560 2 4096 3.162277660168379e-07 256 0.25
40 4 256 1e-06 16 0.25
2560 2 1024 3.162277660168379e-07 256 0.2
20480 2 2048 3.162277660168379e-07 1024 0.2
10240 3 256 3.162277660168379e-07 16 0.0
5120 5 512 3.162277660168379e-07 512 0.0
5120 2 1024 3.162277660168379e-07 4 0.25
5120 3 8192 1e-06 512 0.0
10240 1 512 3.162277660168379e-07 8 0.0
640 5 1024 3.162277660168379e-07 16 0.0
40 4 512 1e-06 512 0.25
5120 5 8192 3.162277660168379e-07 8 0.2
163840 5 1024 1e-06 16 0.25
640 3 256 3.162277660168379e-07 1024 0.2
163840 3 4096 1e-06 1024 0.2
5120 1 8192 1e-06 16 0.1
20480 4 1024 1e-06 1024 0.0
40 5 256 3.162277660168379e-07 256 0.25
2560 5 2048 1e-06 256 0.0
163840 2 1024 3.162277660168379e-07 16 0.1
5120 4 1024 1e-06 8 0.25
5120 2 1024 3.162277660168379e-07 1024 0.25
10240 2 2048 3.162277660168379e-07 16 0.1
5120 4 2048 1e-06 8 0.25
20480 5 512 1e-06 16 0.1
1280 3 32 3.162277660168379e-07 256 0.2
163840 5 256 3.162277660168379e-07 256 0.0
5120 1 1024 1e-06 4 0.2
10240 1 8192 1e-06 1024 0.25
5120 1 4096 1e-06 4 0.1
40 3 4096 1e-06 4 0.0
10240 2 32 3.162277660168379e-07 512 0.2
20480 5 32 3.162277660168379e-07 1024 0.2
163840 4 1024 3.162277660168379e-07 1024 0.1
640 3 1024 3.162277660168379e-07 4 0.25
20480 3 1024 1e-06 8 0.1
40 4 256 3.162277660168379e-07 4 0.1
2560 3 32 3.162277660168379e-07 512 0.0
5120 4 256 1e-06 8 0.25
20480 2 8192 3.162277660168379e-07 16 0.0
20480 5 512 3.162277660168379e-07 1024 0.2
20480 1 256 1e-06 8 0.1
20480 2 512 3.162277660168379e-07 1024 0.1
10240 4 256 1e-06 1024 0.2
10240 5 1024 1e-06 4 0.25
10240 5 256 3.162277660168379e-07 16 0.0
2560 5 2048 3.162277660168379e-07 512 0.1
1280 5 8192 1e-06 1024 0.25
40 2 1024 3.162277660168379e-07 16 0.0
1280 5 512 1e-06 8 0.2
1280 1 512 3.162277660168379e-07 256 0.25
20480 1 2048 3.162277660168379e-07 16 0.0
163840 2 1024 1e-06 1024 0.2
5120 2 4096 1e-06 16 0.2
2560 5 8192 3.162277660168379e-07 256 0.1
10240 5 1024 3.162277660168379e-07 512 0.0
640 1 512 3.162277660168379e-07 8 0.25
2560 3 1024 3.162277660168379e-07 8 0.25
20480 1 1024 1e-06 8 0.25
1280 5 8192 1e-06 256 0.2
10240 1 1024 3.162277660168379e-07 4 0.0
5120 3 512 1e-06 256 0.2
640 4 512 3.162277660168379e-07 512 0.0
10240 5 256 3.162277660168379e-07 8 0.25
5120 2 8192 1e-06 8 0.1
640 2 4096 3.162277660168379e-07 512 0.2
163840 4 1024 3.162277660168379e-07 512 0.25
163840 4 4096 1e-06 512 0.25
1280 2 8192 3.162277660168379e-07 512 0.0
640 3 1024 3.162277660168379e-07 1024 0.2
5120 2 256 3.162277660168379e-07 8 0.0
640 2 32 1e-06 512 0.2
1280 5 32 1e-06 8 0.25
10240 3 1024 1e-06 8 0.2
163840 3 256 3.162277660168379e-07 16 0.2
640 4 4096 3.162277660168379e-07 16 0.1
5120 4 256 1e-06 512 0.1
163840 2 512 3.162277660168379e-07 256 0.1
20480 3 1024 3.162277660168379e-07 512 0.25
640 3 8192 3.162277660168379e-07 256 0.0
10240 5 512 1e-06 512 0.1
640 2 32 3.162277660168379e-07 1024 0.1
640 3 256 1e-06 256 0.2
2560 2 2048 1e-06 16 0.1
40 3 4096 3.162277660168379e-07 256 0.2
20480 1 256 3.162277660168379e-07 8 0.0
5120 3 512 3.162277660168379e-07 1024 0.2
5120 4 8192 1e-06 256 0.1
20480 1 256 3.162277660168379e-07 4 0.1
10240 5 8192 1e-06 8 0.1
1280 5 512 1e-06 16 0.2
1280 4 8192 1e-06 4 0.25
10240 3 4096 3.162277660168379e-07 256 0.0
40 1 32 1e-06 1024 0.1
640 4 8192 1e-06 8 0.2
640 2 256 3.162277660168379e-07 512 0.2
640 3 2048 1e-06 8 0.0
10240 2 1024 3.162277660168379e-07 8 0.0
640 2 256 3.162277660168379e-07 4 0.1
1280 4 256 3.162277660168379e-07 16 0.1
163840 5 512 1e-06 4 0.1
163840 2 32 1e-06 4 0.25
1280 2 8192 3.162277660168379e-07 1024 0.1
640 5 256 1e-06 256 0.2
163840 5 4096 1e-06 256 0.25
640 3 256 1e-06 16 0.25
40 4 1024 3.162277660168379e-07 1024 0.1
640 5 4096 1e-06 512 0.25
2560 3 256 1e-06 16 0.2
163840 4 32 1e-06 512 0.0
5120 2 2048 1e-06 512 0.25
20480 5 8192 1e-06 4 0.1
10240 4 2048 3.162277660168379e-07 512 0.1
163840 4 256 1e-06 256 0.0
2560 4 512 1e-06 1024 0.25
40 4 256 1e-06 4 0.25
10240 2 8192 1e-06 8 0.25
640 3 2048 1e-06 256 0.1
2560 5 512 1e-06 512 0.2
5120 5 32 1e-06 1024 0.2
5120 5 2048 1e-06 512 0.0
20480 3 8192 3.162277660168379e-07 1024 0.1
